阿姨	ā yí	1	1	
爱护	ài hù	1	30	an-ai,h-f
爱惜	ài xī	1	36	an-ai
爱心	ài xīn	1	37	an-ai,in-ing
安静	ān jìng	1	54	an-ang,an-ai,in-ing
安全	ān quán	1	63	an-ang,an-ai,uan-uang
按时	àn shí	1	88	an-ang,an-ai,s-sh
按照	àn zhào	1	92	an-ang,an-ai,z-zh
拔河	bá hé	1	142	h-f
爸爸	bà ba	1	155	
白色	bái sè	1	177	an-ai,s-sh
白天	bái tiān	1	179	an-ai,ian-iang
摆动	bǎi dòng	1	204	an-ai,eng-ong,on-ong,un-ong
班车	bān chē	1	224	an-ang,an-ai,c-ch
班级	bān jí	1	225	an-ang,an-ai
班长	bān zhǎng	1	227	an-ang,an-ai,z-zh
板凳	bǎn dèng	1	242	an-ang,an-ai,en-eng,eng-ong
板子	bǎn zi	1	243	an-ang,an-ai,z-zh
办法	bàn fǎ	1	247	an-ang,an-ai,h-f
帮助	bāng zhù	1	282	an-ang,z-zh
棒子	bàng zi	1	290	an-ang,z-zh
包子	bāo zi	1	312	z-zh
保护	bǎo hù	1	337	h-f
报到	bào dào	1	356	
杯子	bēi zi	1	407	z-zh
北方	běi fāng	1	431	h-f,an-ang
北风	běi fēng	1	432	h-f,en-eng,eng-ong
北京	běi jīng	1	434	in-ing
被子	bèi zi	1	455	z-zh
笨蛋	bèn dàn	1	489	en-eng,an-ang,an-ai
鼻孔	bí kǒng	1	508	g-k,eng-ong,on-ong,un-ong
鼻子	bí zi	1	510	z-zh
比较	bǐ jiào	1	521	
比如	bǐ rú	1	524	r-l
比赛	bǐ sài	1	526	s-sh,an-ai
笔画	bǐ huà	1	534	h-f
笔顺	bǐ shùn	1	541	s-sh,un-ong,un-iong
变化	biàn huà	1	630	ian-iang,h-f
表扬	biǎo yáng	1	704	an-ang
别人	bié rén	1	715	r-l,en-eng
冰箱	bīng xiāng	1	741	in-ing,ian-iang
饼干	bǐng gān	1	755	in-ing,g-k,an-ang,an-ai
饼子	bǐng zi	1	756	in-ing,z-zh
病人	bìng rén	1	776	in-ing,r-l,en-eng
伯伯	bó bo	1	799	
脖子	bó zi	1	803	z-zh
不错	bù cuò	1	848	c-ch
不断	bù duàn	1	856	uan-uang
不管	bù guǎn	1	864	g-k,uan-uang
不过	bù guò	1	865	g-k
不久	bù jiǔ	1	881	
不再	bù zài	1	957	z-zh,an-ai
彩色	cǎi sè	1	1053	c-ch,an-ai,s-sh
菜园	cài yuán	1	1061	c-ch,an-ai,uan-uang
参观	cān guān	1	1062	c-ch,an-ang,an-ai,g-k,uan-uang
参加	cān jiā	1	1063	c-ch,an-ang,an-ai
操场	cāo chǎng	1	1131	c-ch,an-ang
