牵连	qiān lián	7748	ian-iang,n-l,r-l,j-q-x	1
稀罕	xī han	7749	an-ang,h-f,j-q-x	1
道具	dào jù	7750	ao-ou,j-q-x	1
急躁	jí zào	7751	ao-ou,z-zh,j-q-x	1
脊背	jǐ bèi	7752	ai-ei,j-q-x	1
命中	mìng zhòng	7754	in-ing,z-zh	1
出局	chū jú	7756	c-ch,j-q-x	1
公费	gōng fèi	7757	ai-ei,h-f	1
寄生	jì shēng	7758	en-eng,s-sh,j-q-x	1
推算	tuī suàn	7759	uan-uang,s-sh	1
道家	Dào jiā	7761	ao-ou,ia-ie,j-q-x	1
精巧	jīng qiǎo	7762	in-ing,j-q-x	1
飘荡	piāo dàng	7763	an-ang	1
动弹	dòng tan	7764	an-ang	1
志向	zhì xiàng	7766	ian-iang,z-zh,j-q-x	1
精灵	jīng líng	7767	in-ing,n-l,r-l,j-q-x	1
柔情	róu qíng	7768	in-ing,ao-ou,r-l,j-q-x	1
烧毁	shāo huǐ	7769	ao-ou,s-sh,h-f	1
传闻	chuán wén	7770	en-eng,uan-uang,c-ch	1
内疚	nèi jiù	7771	ai-ei,n-l,j-q-x	1
骨骼	gǔ gé	7772		3
艰险	jiān xiǎn	7773	ian-iang,j-q-x	1
修饰	xiū shì	7774	s-sh,j-q-x	1
装配	zhuāng pèi	7775	uan-uang,ai-ei,z-zh	1
行家	háng jia	7776	an-ang,ia-ie,h-f,j-q-x	1
项链	xiàng liàn	7777	ian-iang,n-l,r-l,j-q-x	1
砍伐	kǎn fá	7778	an-ang,h-f	1
生硬	shēng yìng	7779	en-eng,in-ing,s-sh	1
葬礼	zàng lǐ	7780	an-ang,z-zh,n-l,r-l	1
君主	jūn zhǔ	7783	z-zh,j-q-x	1
无赖	wú lài	7784	ai-ei,n-l,r-l	1
掉头	diào tóu	7785	ao-ou	1
肝脏	gān zàng	7786	an-ang,z-zh	1
拐卖	guǎi mài	7787	ai-ei	1
海运	hǎi yùn	7788	ai-ei,h-f	1
推断	tuī duàn	7790	uan-uang	1
候鸟	hòu niǎo	7792	ao-ou,n-l,h-f	1
硕大	shuò dà	7793	ua-uo,s-sh	1
席卷	xí juǎn	7794	uan-uang,j-q-x	1
辛酸	xīn suān	7795	in-ing,uan-uang,s-sh,j-q-x	1
兴隆	xīng lóng	7796	in-ing,n-l,r-l,j-q-x	1
羞涩	xiū sè	7797	s-sh,j-q-x	1
凑合	còu he	7798	ao-ou,c-ch,h-f	1
雇佣	gù yōng	7799		1
裂缝	liè fèng	7800	en-eng,ia-ie,n-l,h-f,r-l	1
商贩	shāng fàn	7801	an-ang,s-sh,h-f	1
订购	dìng gòu	7802	in-ing,ao-ou	1
急速	jí sù	7803	s-sh,j-q-x	1
出没	chū mò	7804	c-ch	1
对头	duì tou	7805	ao-ou	1
动心	dòng xīn	7806	in-ing,j-q-x	1
平生	píng shēng	7807	en-eng,in-ing,s-sh	1
耸立	sǒng lì	7808	s-sh,n-l,r-l	1
宴请	yàn qǐng	7809	in-ing,an-ang,j-q-x	1
埋藏	mái cáng	7810	an-ang,ai-ei,c-ch	1
铭记	míng jì	7811	in-ing,j-q-x	1
身世	shēn shì	7812	en-eng,s-sh	1
苍茫	cāng máng	7813	an-ang,c-ch	1
估量	gū liang	7814	ian-iang,n-l,r-l	1
激昂	jī áng	7815	an-ang,j-q-x	1
决裂	jué liè	7816	ia-ie,n-l,r-l,j-q-x	1
青铜	qīng tóng	7817	in-ing,j-q-x	1
落水	luò shuǐ	7819	ua-uo,s-sh,n-l,r-l	1
坚韧	jiān rèn	7821	en-eng,ian-iang,r-l,j-q-x	1
介意	jiè yì	7822	ia-ie,j-q-x	1
咕噜	gū lū	7823	n-l,r-l	3
凉爽	liáng shuǎng	7824	ian-iang,uan-uang,s-sh,n-l,r-l	1
临终	lín zhōng	7825	in-ing,z-zh,n-l,r-l	1
暗淡	àn dàn	7826	an-ang	1
容貌	róng mào	7827	ao-ou,r-l	1
匹配	pǐ pèi	7828	ai-ei	1
追捕	zhuī bǔ	7829	z-zh	1
歌谣	gē yáo	7830	ao-ou	1
旺季	wàng jì	7831	an-ang,j-q-x	1
充电	chōng diàn	7832	ian-iang,c-ch	1
逃难	táo nàn	7833	an-ang,ao-ou,n-l	1
徒步	tú bù	7834		1
比拟	bǐ nǐ	7835	n-l	1
僵硬	jiāng yìng	7836	in-ing,ian-iang,j-q-x	1
咽喉	yān hóu	7837	an-ang,ao-ou,h-f	1
灌木	guàn mù	7838	uan-uang	1
靠拢	kào lǒng	7839	ao-ou,n-l,r-l	1
收据	shōu jù	7841	ao-ou,s-sh,j-q-x	1
水草	shuǐ cǎo	7842	ao-ou,c-ch,s-sh	1
顺从	shùn cóng	7843	c-ch,s-sh	1
喧哗	xuān huá	7845	uan-uang,ua-uo,h-f,j-q-x	1
良久	liáng jiǔ	7846	ian-iang,n-l,r-l,j-q-x	1
社交	shè jiāo	7847	s-sh,j-q-x	1
忘我	wàng wǒ	7848	an-ang	1
知己	zhī jǐ	7849	z-zh,j-q-x	1
散落	sàn luò	7850	an-ang,ua-uo,s-sh,n-l,r-l	1
抱负	bào fù	7851	ao-ou,h-f	1
纯朴	chún pǔ	7852	c-ch	1
盗贼	dào zéi	7853	ai-ei,ao-ou,z-zh	1
胶囊	jiāo náng	7854	an-ang,n-l,j-q-x	1
外行	wài háng	7855	an-ang,ai-ei,h-f	1
厌烦	yàn fán	7856	an-ang,h-f	1
冲刺	chōng cì	7857	c-ch	1
大款	dà kuǎn	7858	uan-uang	1
看透	kàn tòu	7859	an-ang,ao-ou	1
漫游	màn yóu	7860	an-ang,ao-ou	1
安稳	ān wěn	7861	en-eng,an-ang	1
大作	dà zuò	7862	ua-uo,z-zh	1
情意	qíng yì	7863	in-ing,j-q-x	1
体谅	tǐ liàng	7864	ian-iang,n-l,r-l	1
警醒	jǐng xǐng	7865	in-ing,j-q-x	1
踪迹	zōng jì	7867	z-zh,j-q-x	1
回旋	huí xuán	7868	uan-uang,h-f,j-q-x	1
人气	rén qì	7869	en-eng,r-l,j-q-x	1
草莓	cǎo méi	7870	ai-ei,ao-ou,c-ch	3
浓烈	nóng liè	7871	ia-ie,n-l,r-l	1
心胸	xīn xiōng	7872	in-ing,j-q-x	1
缠绕	chán rào	7873	an-ang,ao-ou,c-ch,r-l	1
悔恨	huǐ hèn	7874	en-eng,h-f	1
紧要	jǐn yào	7875	in-ing,ao-ou,j-q-x	1
值勤	zhí qín	7877	in-ing,z-zh,j-q-x	1
充沛	chōng pèi	7878	ai-ei,c-ch	1
火速	huǒ sù	7879	ua-uo,s-sh,h-f	1
唯独	wéi dú	7880	ai-ei	1
振作	zhèn zuò	7881	en-eng,ua-uo,z-zh	1
特制	tè zhì	7882	z-zh	1
唯恐	wéi kǒng	7883	ai-ei	1
狭义	xiá yì	7884	ia-ie,j-q-x	1
闭塞	bì sè	7885	s-sh	1
提防	dī fang	7886	an-ang,h-f	1
乏味	fá wèi	7887	ai-ei,h-f	1
古朴	gǔ pǔ	7888		1
惊呼	jīng hū	7889	in-ing,h-f,j-q-x	1
老式	lǎo shì	7890	ao-ou,s-sh,n-l,r-l	1
明快	míng kuài	7891	in-ing	1
幽静	yōu jìng	7892	in-ing,ao-ou,j-q-x	1
沉醉	chén zuì	7893	en-eng,z-zh,c-ch	1
淀粉	diàn fěn	7894	en-eng,ian-iang,h-f	1
动脉	dòng mài	7895	ai-ei	1
药方	yào fāng	7896	an-ang,ao-ou,h-f	1
阻拦	zǔ lán	7897	an-ang,z-zh,n-l,r-l	1
睫毛	jié máo	7898	ao-ou,ia-ie,j-q-x	1
开销	kāi xiāo	7899	ai-ei,j-q-x	1
高耸	gāo sǒng	7900	ao-ou,s-sh	1
简朴	jiǎn pǔ	7901	ian-iang,j-q-x	1
叛乱	pàn luàn	7902	an-ang,uan-uang,n-l,r-l	1
算数	suàn shù	7903	uan-uang,s-sh	1
挽留	wǎn liú	7904	an-ang,n-l,r-l	1
训斥	xùn chì	7905	c-ch,j-q-x	1
避暑	bì shǔ	7906	s-sh	1
隔绝	gé jué	7907	j-q-x	1
骏马	jùn mǎ	7908	j-q-x	1
色调	sè diào	7909	s-sh	1
翻滚	fān gǔn	7911	an-ang,h-f	1
接应	jiē yìng	7912	in-ing,ia-ie,j-q-x	1
累积	lěi jī	7913	ai-ei,n-l,r-l,j-q-x	1
吓唬	xià hu	7914	ia-ie,h-f,j-q-x	1
订婚	dìng hūn	7915	in-ing,h-f	1
冲洗	chōng xǐ	7917	c-ch,j-q-x	1
得体	dé tǐ	7918		1
知心	zhī xīn	7919	in-ing,z-zh,j-q-x	1
名贵	míng guì	7920	in-ing	1
虚幻	xū huàn	7921	uan-uang,h-f,j-q-x	1
震荡	zhèn dàng	7922	en-eng,an-ang,z-zh	1
沉睡	chén shuì	7923	en-eng,c-ch,s-sh	1
告示	gào shi	7924	ao-ou,s-sh	1
空隙	kòng xì	7926	j-q-x	1
强者	qiáng zhě	7927	ian-iang,z-zh,j-q-x	1
探寻	tàn xún	7928	an-ang,j-q-x	1
伴侣	bàn lǚ	7929	an-ang,n-l,r-l	1
波及	bō jí	7930	j-q-x	1
善待	shàn dài	7932	an-ang,ai-ei,s-sh	1
登场	dēng chǎng	7933	en-eng,an-ang,c-ch	1
巨幅	jù fú	7934	h-f,j-q-x	1
年岁	nián suì	7935	ian-iang,s-sh,n-l	1
原型	yuán xíng	7936	in-ing,uan-uang,j-q-x	1
锄头	chú tou	7937	ao-ou,c-ch	1
倒卖	dǎo mài	7938	ai-ei,ao-ou	1
锋利	fēng lì	7939	en-eng,n-l,h-f,r-l	1
冷冻	lěng dòng	7940	en-eng,n-l,r-l	1
混杂	hùn zá	7941	z-zh,h-f	1
景致	jǐng zhì	7942	in-ing,z-zh,j-q-x	1
恐吓	kǒng hè	7943	h-f	1
恼火	nǎo huǒ	7944	ao-ou,ua-uo,n-l,h-f	1
宽度	kuān dù	7945	uan-uang	1
哨兵	shào bīng	7946	in-ing,ao-ou,s-sh	1
兴味	xìng wèi	7948	in-ing,ai-ei,j-q-x	1
疼爱	téng ài	7949	en-eng,ai-ei	1
作弊	zuò bì	7950	ua-uo,z-zh	1
恶毒	è dú	7951		1
渴求	kě qiú	7952	j-q-x	1
飘浮	piāo fú	7953	h-f	1
巴结	bā jie	7954	ia-ie,j-q-x	1
略微	lüè wēi	7955	ai-ei,n-l,r-l	1
苗头	miáo tou	7956	ao-ou	1
切割	qiē gē	7957	ia-ie,j-q-x	1
飞奔	fēi bēn	7959	en-eng,ai-ei,h-f	1
渺小	miǎo xiǎo	7960	j-q-x	1
诺言	nuò yán	7961	an-ang,ua-uo,n-l	1
锐利	ruì lì	7962	n-l,r-l	1
安放	ān fàng	7963	an-ang,h-f	1
抵挡	dǐ dǎng	7964	an-ang	1
任性	rèn xìng	7965	en-eng,in-ing,r-l,j-q-x	1
停泊	tíng bó	7966	in-ing	1
憎恨	zēng hèn	7967	en-eng,z-zh,h-f	1
奔放	bēn fàng	7968	en-eng,an-ang,h-f	1
衬托	chèn tuō	7969	en-eng,ua-uo,c-ch	1
开导	kāi dǎo	7970	ai-ei,ao-ou	1
音符	yīn fú	7972	in-ing,h-f	1
残废	cán fèi	7973	an-ang,ai-ei,c-ch,h-f	1
嘹亮	liáo liàng	7974	ian-iang,n-l,r-l	1
落伍	luò wǔ	7975	ua-uo,n-l,r-l	1
门下	mén xià	7976	en-eng,ia-ie,j-q-x	1
回响	huí xiǎng	7977	ian-iang,h-f,j-q-x	1
浇灌	jiāo guàn	7978	uan-uang,j-q-x	1
秘诀	mì jué	7980	j-q-x	1
天涯	tiān yá	7981	ian-iang	1
欢送	huān sòng	7982	uan-uang,s-sh,h-f	1
宽厚	kuān hòu	7983	uan-uang,ao-ou,h-f	1
尸首	shī shou	7984	ao-ou,s-sh	1
畜生	chù sheng	7985	en-eng,c-ch,s-sh	1
根除	gēn chú	7986	en-eng,c-ch	1
静态	jìng tài	7987	in-ing,ai-ei,j-q-x	1
轰鸣	hōng míng	7988	in-ing,h-f	1
追忆	zhuī yì	7990	z-zh	1
苍凉	cāng liáng	7991	an-ang,ian-iang,c-ch,n-l,r-l	1
清贫	qīng pín	7992	in-ing,j-q-x	1
悲凉	bēi liáng	7993	ian-iang,ai-ei,n-l,r-l	1
绳索	shéng suǒ	7994	en-eng,ua-uo,s-sh	1
迟钝	chí dùn	7995	c-ch	1
核对	hé duì	7996	h-f	1
挖苦	wā ku	7997		1
橱窗	chú chuāng	7999	uan-uang,c-ch	1
存活	cún huó	8000	ua-uo,c-ch,h-f	1
翡翠	fěi cuì	8001	ai-ei,c-ch,h-f	3
过期	guò qī	8002	ua-uo,j-q-x	1
作曲	zuò qǔ	8004	ua-uo,z-zh,j-q-x	1
裁缝	cái feng	8005	en-eng,ai-ei,c-ch,h-f	1
收养	shōu yǎng	8006	an-ang,ao-ou,s-sh	1
怒火	nù huǒ	8007	ua-uo,n-l,h-f	1
弱化	ruò huà	8008	ua-uo,h-f,r-l	1
摆弄	bǎi nòng	8009	ai-ei,n-l	1
顶尖	dǐng jiān	8011	in-ing,ian-iang,j-q-x	1
委婉	wěi wǎn	8012	an-ang,ai-ei	1
悉心	xī xīn	8014	in-ing,j-q-x	1
坠落	zhuì luò	8015	ua-uo,z-zh,n-l,r-l	1
搏击	bó jī	8017	j-q-x	1
漫天	màn tiān	8018	an-ang,ian-iang	1
遥望	yáo wàng	8019	an-ang,ao-ou	1
讥讽	jī fěng	8020	en-eng,h-f,j-q-x	1
征途	zhēng tú	8021	en-eng,z-zh	1
周全	zhōu quán	8022	uan-uang,ao-ou,z-zh,j-q-x	1
激怒	jī nù	8023	n-l,j-q-x	1
狂欢	kuáng huān	8024	uan-uang,h-f	1
腔调	qiāng diào	8025	ian-iang,j-q-x	1
轮换	lún huàn	8026	uan-uang,n-l,h-f,r-l	1
央求	yāng qiú	8028	an-ang,j-q-x	1
宠爱	chǒng ài	8029	ai-ei,c-ch	1
连绵	lián mián	8030	ian-iang,n-l,r-l	1
