抽斗	chōu dǒu	39165	ao-ou,c-ch	1
抽税	chōu shuì	39166	ao-ou,c-ch,s-sh	1
出榜	chū bǎng	39167	an-ang,c-ch	1
出货	chū huò	39168	ua-uo,c-ch,h-f	1
刍议	chú yì	39169	c-ch	3
触媒	chù méi	39170	ai-ei,c-ch	1
穿凿	chuān záo	39171	uan-uang,ao-ou,z-zh,c-ch	1
垂询	chuí xún	39173	c-ch,j-q-x	1
磁头	cí tóu	39174	ao-ou,c-ch	1
忖度	cǔn duó	39176	ua-uo,c-ch	3
错愕	cuò è	39177	ua-uo,c-ch	1
打旋	dǎ xuán	39178	uan-uang,j-q-x	1
大族	dà zú	39180	z-zh	1
当堂	dāng táng	39182	an-ang	1
挡板	dǎng bǎn	39183	an-ang	1
倒弄	dǎo nong	39184	ao-ou,n-l	1
祷祝	dǎo zhù	39185	ao-ou,z-zh	1
道藏	dào zàng	39186	an-ang,ao-ou,z-zh	1
灯芯	dēng xīn	39187	en-eng,in-ing,j-q-x	1
地权	dì quán	39188	uan-uang,j-q-x	1
冬麦	dōng mài	39190	ai-ei	1
督学	dū xué	39191	j-q-x	1
恶少	è shào	39192	ao-ou,s-sh	1
发祥	fā xiáng	39193	ian-iang,h-f,j-q-x	1
法名	fǎ míng	39194	in-ing,h-f	1
放空	fàng kōng	39195	an-ang,h-f	1
浮荡	fú dàng	39198	an-ang,h-f	1
复写	fù xiě	39199	ia-ie,h-f,j-q-x	1
拱卫	gǒng wèi	39201	ai-ei	1
脱瘾	tuō yǐn	39202	in-ing,ua-uo	1
古钱	gǔ qián	39204	ian-iang,j-q-x	1
归依	guī yī	39207		1
海胆	hǎi dǎn	39208	an-ang,ai-ei,h-f	1
汗臭	hàn chòu	39210	an-ang,ao-ou,c-ch,h-f	1
号数	hào shù	39211	ao-ou,s-sh,h-f	1
合击	hé jī	39212	h-f,j-q-x	1
河泥	hé ní	39214	n-l,h-f	1
核儿	hú er	39218	h-f	1
花匠	huā jiàng	39219	ian-iang,ua-uo,h-f,j-q-x	1
画谱	huà pǔ	39221	ua-uo,h-f	1
活宝	huó bǎo	39222	ao-ou,ua-uo,h-f	1
机巧	jī qiǎo	39223	j-q-x	1
即如	jí rú	39224	r-l,j-q-x	1
家计	jiā jì	39225	ia-ie,j-q-x	1
假寐	jiǎ mèi	39226	ai-ei,ia-ie,j-q-x	3
价目	jià mù	39228	ia-ie,j-q-x	1
奸贼	jiān zéi	39230	ian-iang,ai-ei,z-zh,j-q-x	1
俭省	jiǎn shěng	39231	en-eng,ian-iang,s-sh,j-q-x	1
减损	jiǎn sǔn	39232	ian-iang,s-sh,j-q-x	1
健旺	jiàn wàng	39233	an-ang,ian-iang,j-q-x	1
进尺	jìn chǐ	39234	in-ing,c-ch,j-q-x	1
近世	jìn shì	39235	in-ing,s-sh,j-q-x	1
旧例	jiù lì	39236	n-l,r-l,j-q-x	1
绝响	jué xiǎng	39237	ian-iang,j-q-x	1
咯血	kǎ xiě	39238	ia-ie,j-q-x	3
开锅	kāi guō	39239	ai-ei,ua-uo	1
看押	kān yā	39240	an-ang	1
苦读	kǔ dú	39241		1
