一丁不识	yī dīng bù shí	53549	in-ing,s-sh	1
一不小心	yí bù xiǎo xīn	53550	in-ing,j-q-x	1
一不扭众	yī bù niǔ zhòng	53551	z-zh,n-l	1
一丝不差	yì sī bù chā	53552	c-ch,s-sh	1
一丝不紊	yī sī bù wěn	53553	en-eng,s-sh	1
一个半个	yī gè bàn gè	53556	an-ang	1
一个心眼	yí gè xīn yǎn	53557	in-ing,an-ang,j-q-x	1
一举万里	yī jǔ wàn lǐ	53558	an-ang,n-l,r-l,j-q-x	1
一之为甚	yī zhī wéi shèn	53559	en-eng,ai-ei,z-zh,s-sh	1
一之已甚	yī zhī yǐ shèn	53560	en-eng,z-zh,s-sh	1
一之谓甚	yī zhī wèi shèn	53561	en-eng,ai-ei,z-zh,s-sh	1
一乱涂地	yī luàn tú dì	53562	uan-uang,n-l,r-l	1
一了百当	yī liǎo bǎi dàng	53564	an-ang,ai-ei,n-l,r-l	1
一事不知	yī shì bù zhī	53565	z-zh,s-sh	1
一些半些	yī xiē bàn xiē	53566	an-ang,ia-ie,j-q-x	1
一人有庆	yī rén yǒu qìng	53567	en-eng,in-ing,ao-ou,r-l,j-q-x	1
一仆二主	yī pú èr zhǔ	53568	z-zh	1
一介不取	yī jiè bù qǔ	53569	ia-ie,j-q-x	1
一介不苟	yī jiè bù gǒu	53570	ao-ou,ia-ie,j-q-x	1
一代楷模	yī dài kǎi mó	53571	ai-ei	1
一代风流	yī dài fēng liú	53572	en-eng,ai-ei,n-l,h-f,r-l	1
一以当十	yī yǐ dāng shí	53574	an-ang,s-sh	1
一以当百	yī yǐ dāng bǎi	53575	an-ang,ai-ei	1
一体两面	yì tǐ liǎng miàn	53579	ian-iang,n-l,r-l	1
一体同心	yī tǐ tóng xīn	53580	in-ing,j-q-x	1
一佛出世	yī fó chū shì	53581	c-ch,s-sh,h-f	1
一倡一和	yī chàng yī hé	53583	an-ang,c-ch,h-f	1
一倡三叹	yī chàng sān tàn	53584	an-ang,c-ch,s-sh	1
一倡百和	yī chàng bǎi hè	53585	an-ang,ai-ei,c-ch,h-f	1
一偏之见	yī piān zhī jiàn	53586	ian-iang,z-zh,j-q-x	1
一偏之论	yī piān zhī lùn	53587	ian-iang,z-zh,n-l,r-l	1
一元大武	yī yuán dà wǔ	53588	uan-uang	1
一分一毫	yī fēn yī háo	53592	en-eng,ao-ou,h-f	1
一切万物	yī qiē wàn wù	53595	an-ang,ia-ie,j-q-x	1
一切众生	yī qiè zhòng shēng	53596	en-eng,ia-ie,z-zh,s-sh,j-q-x	1
一剑之任	yī jiàn zhī rèn	53597	en-eng,ian-iang,z-zh,r-l,j-q-x	1
一力承当	yī lì chéng dāng	53599	en-eng,an-ang,c-ch,n-l,r-l	1
一包在内	yī bāo zài nèi	53600	ai-ei,ao-ou,z-zh,n-l	1
一匡九合	yī kuāng jiǔ hé	53601	uan-uang,h-f,j-q-x	3
一卧不起	yī wò bù qǐ	53604	j-q-x	1
一双两好	yī shuāng liǎng hǎo	53606	ian-iang,uan-uang,ao-ou,s-sh,n-l,h-f,r-l	1
一反其道	yī fǎn qí dào	53607	an-ang,ao-ou,h-f,j-q-x	1
一口两匙	yī kǒu liǎng chí	53609	ian-iang,ao-ou,c-ch,n-l,r-l	1
一口同声	yī kǒu tóng shēng	53610	en-eng,ao-ou,s-sh	1
一口同音	yī kǒu tóng yīn	53611	in-ing,ao-ou	1
一口咬定	yì kǒu yǎo dìng	53612	in-ing,ao-ou	1
一叶扁舟	yí yè piān zhōu	53614	ian-iang,ao-ou,z-zh	1
一叶报秋	yī yè bào qiū	53615	ao-ou,j-q-x	1
一叶迷山	yī yè mí shān	53616	an-ang,s-sh	1
一叶障目	yī yè zhàng mù	53617	an-ang,z-zh	1
一呵而就	yī hē ér jiù	53619	h-f,j-q-x	1
一呼再喏	yī hū zài nuò	53620	ai-ei,ua-uo,z-zh,n-l,h-f	3
一哭二闹	yì kū èr nào	53621	ao-ou,n-l	1
一喷一醒	yī pēn yī xǐng	53622	en-eng,in-ing,j-q-x	1
一场春梦	yī chǎng chūn mèng	53625	en-eng,an-ang,c-ch	1
一坐尽倾	yī zuò jìn qīng	53628	in-ing,ua-uo,z-zh,j-q-x	1
一坐尽惊	yī zuò jìn jīng	53629	in-ing,ua-uo,z-zh,j-q-x	1
一声不吭	yī shēng bù kēng	53630	en-eng,s-sh	1
一夔一契	yī kuí yī qì	53631	j-q-x	3
一夕一朝	yī xī yī zhāo	53632	ao-ou,z-zh,j-q-x	1
一夕之间	yì xī zhī jiān	53633	ian-iang,z-zh,j-q-x	1
一夜走红	yí yè zǒu hóng	53635	ao-ou,z-zh,h-f	1
一天一地	yī tiān yī dì	53639	ian-iang	1
一天星斗	yī tiān xīng dǒu	53640	in-ing,ian-iang,ao-ou,j-q-x	1
一夫之勇	yī fū zhī yǒng	53641	z-zh,h-f	1
一夫之用	yī fū zhī yòng	53642	z-zh,h-f	1
一夫当关	yī fū dāng guān	53643	an-ang,uan-uang,h-f	1
一孔不达	yī kǒng bù dá	53645		1
一字一句	yī zì yī jù	53646	z-zh,j-q-x	1
一字不易	yī zì bù yì	53647	z-zh	1
一字不苟	yī zì bù gǒu	53648	ao-ou,z-zh	1
一字长城	yī zì cháng chéng	53649	en-eng,an-ang,z-zh,c-ch	1
一定不易	yī dìng bù yì	53650	in-ing	1
一定不移	yī dìng bù yí	53651	in-ing	1
一家一火	yī jiā yī huǒ	53653	ia-ie,ua-uo,h-f,j-q-x	1
一家一计	yī jiā yī jì	53654	ia-ie,j-q-x	1
一家之主	yī jiā zhī zhǔ	53655	ia-ie,z-zh,j-q-x	1
一家之作	yī jiā zhī zuò	53656	ia-ie,ua-uo,z-zh,j-q-x	1
一家之学	yī jiā zhī xué	53657	ia-ie,z-zh,j-q-x	1
一家之计	yī jiā zhī jì	53658	ia-ie,z-zh,j-q-x	1
一家之辞	yī jiā zhī cí	53659	ia-ie,z-zh,c-ch,j-q-x	1
一家无二	yī jiā wú èr	53660	ia-ie,j-q-x	1
一家眷属	yī jiā juàn shǔ	53661	uan-uang,ia-ie,s-sh,j-q-x	1
一家老小	yī jiā lǎo xiǎo	53662	ao-ou,ia-ie,n-l,r-l,j-q-x	1
一射之地	yī shè zhī dì	53663	z-zh,s-sh	1
一尘不到	yī chén bù dào	53664	en-eng,ao-ou,c-ch	1
一尘不缁	yī chén bù zī	53665	en-eng,z-zh,c-ch	3
一岁载赦	yī suì zài shè	53666	ai-ei,z-zh,s-sh	1
一差两讹	yī chà liǎng é	53667	ian-iang,c-ch,n-l,r-l	1
一差二误	yī chà èr wù	53668	c-ch	1
一差半错	yī chà bàn cuò	53669	an-ang,ua-uo,c-ch	1
一己之见	yī jǐ zhī jiàn	53670	ian-iang,z-zh,j-q-x	1
一帆顺风	yī fān shùn fēng	53671	en-eng,an-ang,s-sh,h-f	1
一干人犯	yī gān rén fàn	53673	en-eng,an-ang,h-f,r-l	1
一年一度	yī nián yī dù	53674	ian-iang,n-l	1
一床两好	yī chuáng liǎng hǎo	53676	ian-iang,uan-uang,ao-ou,c-ch,n-l,h-f,r-l	1
一弹指顷	yī tán zhǐ qǐng	53677	in-ing,an-ang,z-zh,j-q-x	1
一彻万融	yī chè wàn róng	53678	an-ang,c-ch,r-l	1
一得之功	yī dé zhī gōng	53680	z-zh	1
一得之愚	yī dé zhī yú	53681	z-zh	1
一心同体	yī xīn tóng tǐ	53682	in-ing,j-q-x	1
一心同功	yī xīn tóng gōng	53683	in-ing,j-q-x	1
一心同归	yī xīn tóng guī	53684	in-ing,j-q-x	1
一心向往	yì xīn xiàng wǎng	53685	in-ing,an-ang,ian-iang,j-q-x	1
一念之间	yí niàn zhī jiān	53686	ian-iang,z-zh,n-l,j-q-x	1
一怒之下	yí nù zhī xià	53687	ia-ie,z-zh,n-l,j-q-x	1
一息奄奄	yī xī yǎn yǎn	53688	an-ang,j-q-x	3
一成不易	yī chéng bù yì	53690	en-eng,c-ch	1
一把死拿	yī bǎ sǐ ná	53694	s-sh,n-l	1
一抔黄沙	yì póu huáng shā	53695	uan-uang,ao-ou,s-sh,h-f	3
一掷百万	yī zhì bǎi wàn	53698	an-ang,ai-ei,z-zh	1
一支半节	yī zhī bàn jié	53700	an-ang,ia-ie,z-zh,j-q-x	1
一方之任	yī fāng zhī rèn	53701	en-eng,an-ang,z-zh,h-f,r-l	1
一无可取	yī wú kě qǔ	53702	j-q-x	1
一无所长	yī wú suǒ cháng	53703	an-ang,ua-uo,c-ch,s-sh	1
一无长物	yī wú cháng wù	53704	an-ang,c-ch	1
一日万几	yī rì wàn jǐ	53705	an-ang,r-l,j-q-x	1
一日万机	yī rì wàn jī	53706	an-ang,r-l,j-q-x	1
一日万里	yī rì wàn lǐ	53707	an-ang,n-l,r-l	1
一日三省	yī rì sān xǐng	53708	in-ing,an-ang,s-sh,r-l,j-q-x	1
一日三秋	yí rì sān qiū	53709	an-ang,s-sh,r-l,j-q-x	1
一日之长	yī rì zhī cháng	53710	an-ang,z-zh,c-ch,r-l	1
一时伯仲	yī shí bó zhòng	53711	z-zh,s-sh	1
一时千载	yī shí qiān zǎi	53712	ian-iang,ai-ei,z-zh,s-sh,j-q-x	1
一时得逞	yì shí dé chěng	53713	en-eng,c-ch,s-sh	1
一时疏忽	yì shí shū hū	53714	s-sh,h-f	1
一暝不视	yī míng bù shì	53715	in-ing,s-sh	3
一暴十寒	yī pù shí hán	53716	an-ang,s-sh,h-f	1
一曝十寒	yī pù shí hán	53717	an-ang,s-sh,h-f	1
一曲阳关	yī qǔ yáng guān	53718	an-ang,uan-uang,j-q-x	1
一望无涯	yí wàng wú yá	53722	an-ang	1
一望而知	yī wàng ér zhī	53723	an-ang,z-zh	1
一朝之忿	yī zhāo zhī fèn	53724	en-eng,ao-ou,z-zh,h-f	1
一朝之患	yī zhāo zhī huàn	53725	uan-uang,ao-ou,z-zh,h-f	1
一朝千里	yī zhāo qiān lǐ	53726	ian-iang,ao-ou,z-zh,n-l,r-l,j-q-x	1
一木难支	yī mù nán zhī	53728	an-ang,z-zh,n-l	1
一本万利	yī běn wàn lì	53729	en-eng,an-ang,n-l,r-l	1
一枕南柯	yī zhěn nán kē	53731	en-eng,an-ang,z-zh,n-l	3
一枝一栖	yī zhī yī qī	53732	z-zh,j-q-x	1
一枝一节	yī zhī yī jié	53733	ia-ie,z-zh,j-q-x	1
一枝之栖	yī zhī zhī qī	53734	z-zh,j-q-x	1
一栖两雄	yī qī liǎng xióng	53736	ian-iang,n-l,r-l,j-q-x	1
一梦华胥	yī mèng huá xū	53737	en-eng,ua-uo,h-f,j-q-x	3
一榻横陈	yī tà héng chén	53738	en-eng,c-ch,h-f	3
一模二样	yī mó èr yàng	53739	an-ang	1
一步一步	yí bù yí bù	53740		1
一步一趋	yī bù yī qū	53741	j-q-x	1
一步步地	yí bù bù de	53743		1
一死了之	yī sǐ liǎo zhī	53744	z-zh,s-sh,n-l,r-l	1
一毫不差	yī háo bù chā	53745	ao-ou,c-ch,h-f	1
一毫不染	yī háo bù rǎn	53746	an-ang,ao-ou,h-f,r-l	1
一毫不苟	yī háo bù gǒu	53747	ao-ou,h-f	1
一民同俗	yī mín tóng sú	53748	in-ing,s-sh	1
一气之下	yí qì zhī xià	53749	ia-ie,z-zh,j-q-x	1
一沓钞票	yì dá chāo piào	53751	ao-ou,c-ch	3
一波万波	yī bō wàn bō	53752	an-ang	1
一泻万里	yī xiè wàn lǐ	53753	an-ang,ia-ie,n-l,r-l,j-q-x	1
一派胡言	yí pài hú yán	53754	an-ang,ai-ei,h-f	1
一浆十饼	yī jiāng shí bǐng	53755	in-ing,ian-iang,s-sh,j-q-x	1
一清宿弊	yì qīng sù bì	53756	in-ing,s-sh,j-q-x	1
一溜歪斜	yī liù wāi xié	53757	ai-ei,ia-ie,n-l,r-l,j-q-x	1
一熏一莸	yī xūn yī yóu	53761	ao-ou,j-q-x	3
